[INFO][2020-03-26 18:39:39,759][org.springframework.web.context.ContextLoader]Root WebApplicationContext: initialization started
[DEBUG][2020-03-26 18:39:39,884][org.springframework.web.context.support.StandardServletEnvironment]Initializing new StandardServletEnvironment
[DEBUG][2020-03-26 18:39:39,885][org.springframework.web.context.support.StandardServletEnvironment]Adding [servletConfigInitParams] PropertySource with lowest search precedence
[DEBUG][2020-03-26 18:39:39,885][org.springframework.web.context.support.StandardServletEnvironment]Adding [servletContextInitParams] PropertySource with lowest search precedence
[DEBUG][2020-03-26 18:39:39,891][org.springframework.web.context.support.StandardServletEnvironment]Adding [jndiProperties] PropertySource with lowest search precedence
[DEBUG][2020-03-26 18:39:40,059][org.springframework.web.context.support.StandardServletEnvironment]Adding [systemProperties] PropertySource with lowest search precedence
[DEBUG][2020-03-26 18:39:40,059][org.springframework.web.context.support.StandardServletEnvironment]Adding [systemEnvironment] PropertySource with lowest search precedence
[DEBUG][2020-03-26 18:39:40,059][org.springframework.web.context.support.StandardServletEnvironment]Initialized StandardServletEnvironment with PropertySources [servletConfigInitParams,servletContextInitParams,jndiProperties,systemProperties,systemEnvironment]
[INFO][2020-03-26 18:39:40,062][org.springframework.web.context.support.XmlWebApplicationContext]Refreshing Root WebApplicationContext: startup date [Thu Mar 26 18:39:40 CST 2020]; root of context hierarchy
[DEBUG][2020-03-26 18:39:40,067][org.springframework.web.context.support.StandardServletEnvironment]Replacing [servletContextInitParams] PropertySource with [servletContextInitParams]
[DEBUG][2020-03-26 18:39:40,102][org.springframework.core.env.StandardEnvironment]Initializing new StandardEnvironment
[DEBUG][2020-03-26 18:39:40,102][org.springframework.core.env.StandardEnvironment]Adding [systemProperties] PropertySource with lowest search precedence
[DEBUG][2020-03-26 18:39:40,102][org.springframework.core.env.StandardEnvironment]Adding [systemEnvironment] PropertySource with lowest search precedence
[DEBUG][2020-03-26 18:39:40,102][org.springframework.core.env.StandardEnvironment]Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
[INFO][2020-03-26 18:39:40,108][org.springframework.beans.factory.xml.XmlBeanDefinitionReader]Loading XML bean definitions from class path resource [spring.xml]
[DEBUG][2020-03-26 18:39:40,112][org.springframework.beans.factory.xml.DefaultDocumentLoader]Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
[DEBUG][2020-03-26 18:39:40,229][org.springframework.beans.factory.xml.PluggableSchemaResolver]Loading schema mappings from [META-INF/spring.schemas]
